not_used,iri_local_name,modified,site_name_zh-Hans,site_name_zh-Latn-pinyin,site_name_en,site_geonames_id,site_getty_togn_id,earliest_period_zn-Hans,earliest_period_en,earliest_period_iri,latest_period_zn-Hans,latest_period_en,latest_period_iri,site_date_verbatim_zn-Hans,site_date_verbatim_en,locality_zn-Hans,locality_en,locality_geonames_id,locality_getty_togn_id
http://lod.vanderbilt.edu/historyart/site/Beiyicheng,Beiyicheng,2016-10-19T13:46:00-05:00,北义城玉皇庙,Beiyicheng,,,,,,,,,,宋至清,,山西省泽州县,,,
http://lod.vanderbilt.edu/historyart/site/Zhoucun,Zhoucun,2016-10-19T13:46:00-05:00,周村东岳庙,Zhoucun,,,,,,,,,,宋至清,,山西省泽州县,,,
http://lod.vanderbilt.edu/historyart/site/Zezhou,Zezhou,2016-10-19T13:46:00-05:00,泽州岱庙,Zezhou,,,,,,,,,,宋至明,,山西省泽州县,,,
http://lod.vanderbilt.edu/historyart/site/Jingzhuang,Jingzhuang,2016-10-19T13:46:00-05:00,荆庄大云寺大雄宝殿,Jingzhuang,,,,,,,,,,金,,山西省浑源县,,,
http://lod.vanderbilt.edu/historyart/site/Hutumiao,Hutumiao,2016-10-19T13:46:00-05:00,狐突庙,Hutumiao,,,,,,,,,,宋至清,,山西省清徐县,,,
http://lod.vanderbilt.edu/historyart/site/Dongyi,Dongyi,2016-10-19T13:46:00-05:00,东邑龙王庙,Dongyi,,,,,,,,,,金至清,,山西省潞城市,,,
http://lod.vanderbilt.edu/historyart/site/Yuanqisi,Yuanqisi,2016-10-19T13:46:00-05:00,原起寺,Yuanqisi,,,,,,,,,,宋,,山西省潞城市,,,
http://lod.vanderbilt.edu/historyart/site/Xingdongyuan,Xingdongyuan,2016-10-19T13:46:00-05:00,兴东垣东岳庙,Xingdongyuan,,,,,,,,,,金至清,,山西省石楼县,,,
http://lod.vanderbilt.edu/historyart/site/Guangfansi,Guangfansi,2016-10-19T13:46:00-05:00,兴梵寺,Guangfansi,,,,,,,,,,宋,,山西省祁县,,,
http://lod.vanderbilt.edu/historyart/site/Yanshansi,Yanshansi,2016-10-19T13:46:00-05:00,岩山寺,Yanshansi,,,,,,,,,,金,,山西省繁峙县,,,
http://lod.vanderbilt.edu/historyart/site/Taiyinsi,Taiyinsi,2016-10-19T13:46:00-05:00,太阴寺,Taiyinsi,,,,,,,,,,金 1170?,,山西省绛县,,,
